draw_id,draw_sequence,frequency_last_10,frequency_last_30,frequency_last_50,frequency_all_time,appearance_rate,days_since_last,day_of_week,is_weekend,month,week_of_year,mean_gap,std_gap,min_gap,max_gap,current_gap,temperature_score,is_hot,is_cold,trend
748,646,0.0,1.0,1.0,50.0,0.0773993808049535,36,4,0,8,33,25.897959183673468,20.465246696917216,2.0,86.0,36,3.333333333333333,0,0,cooling_down
419,320,6.0,18.0,30.0,149.0,0.465625,2,3,0,1,2,2.202702702702702,1.83420746365356,1.0,16.0,2,60.0,1,0,stable
872,770,0.0,0.0,0.0,50.0,0.0649350649350649,72,3,0,1,2,28.693877551020407,34.94789362233534,1.0,184.0,72,0.0,0,1,stable
2772,673,0.0,1.0,4.0,36.0,0.0534918276374442,27,6,1,4,14,18.571428571428573,21.45731405676424,1.0,95.0,27,3.333333333333333,0,0,cooling_down
4211,112,0.0,1.0,1.0,3.0,0.0267857142857142,15,2,0,10,40,43.0,1.0,42.0,44.0,15,3.333333333333333,0,0,cooling_down
807,705,0.0,3.0,5.0,39.0,0.0553191489361702,16,1,0,11,45,37.23684210526316,38.09298471850878,1.0,205.0,16,10.0,1,0,cooling_down
3038,939,1.0,1.0,2.0,55.0,0.0585729499467518,1,6,1,1,1,17.574074074074073,14.63456316250936,1.0,64.0,1,3.333333333333333,0,0,heating_up
3932,353,0.0,0.0,0.0,14.0,0.0396600566572237,76,4,0,6,25,28.692307692307693,18.022996486901505,1.0,54.0,76,0.0,0,1,stable
4166,67,0.0,1.0,2.0,4.0,0.0597014925373134,17,6,1,8,33,14.0,4.242640687119285,8.0,17.0,17,3.333333333333333,0,0,cooling_down
2566,467,2.0,3.0,4.0,28.0,0.0599571734475374,8,1,0,9,37,17.14814814814815,14.96837085992575,1.0,57.0,8,10.0,1,0,heating_up
2565,466,1.0,2.0,2.0,22.0,0.0472103004291845,10,1,0,3,10,22.09523809523809,16.67591580095239,1.0,58.0,10,6.666666666666667,0,0,heating_up
4234,655,1.0,1.0,2.0,30.0,0.0458015267175572,15,3,0,4,17,24.93103448275862,18.92076224039168,2.0,70.0,15,3.333333333333333,0,0,heating_up
335,233,0.0,2.0,3.0,11.0,0.0472103004291845,42,6,1,6,23,48.1,37.37766712891536,7.0,130.0,42,6.666666666666667,0,0,cooling_down
3812,233,1.0,2.0,3.0,10.0,0.0429184549356223,4,3,0,2,6,32.0,30.793217146349328,4.0,108.0,4,6.666666666666667,0,0,heating_up
1230,64,0.0,1.0,2.0,3.0,0.046875,28,3,0,8,33,15.0,12.0,3.0,27.0,28,3.333333333333333,0,1,cooling_down
4087,508,3.0,5.0,5.0,32.0,0.0629921259842519,3,5,1,11,47,18.70967741935484,19.82210162417617,1.0,101.0,3,16.666666666666664,1,0,heating_up
3162,42,1.0,2.0,3.0,3.0,0.0714285714285714,5,1,0,5,20,20.0,9.0,11.0,29.0,5,6.666666666666667,0,0,heating_up
2766,667,0.0,1.0,1.0,34.0,0.0509745127436281,13,0,0,3,14,18.96969696969697,14.918942298370618,1.0,64.0,13,3.333333333333333,0,0,cooling_down
3761,631,1.0,3.0,5.0,49.0,0.0776545166402535,10,2,0,3,13,14.708333333333334,14.641491177092888,1.0,68.0,10,10.0,1,0,stable
4572,993,0.0,0.0,1.0,55.0,0.0553877139979859,39,0,0,4,14,19.46296296296296,22.50984390666297,1.0,124.0,39,0.0,0,1,stable
2278,73,0.0,1.0,2.0,4.0,0.0547945205479452,30,5,1,8,34,12.666666666666666,4.988876515698588,6.0,18.0,30,3.333333333333333,0,1,cooling_down
2819,720,1.0,1.0,4.0,35.0,0.0486111111111111,9,4,0,5,22,21.176470588235293,19.402047478727138,2.0,85.0,9,3.333333333333333,0,0,heating_up
4212,113,0.0,1.0,2.0,7.0,0.0619469026548672,22,3,0,10,40,15.0,7.852812659593164,3.0,24.0,22,3.333333333333333,0,0,cooling_down
5078,1499,0.0,4.0,6.0,81.0,0.0540360240160106,14,4,0,9,36,19.9875,19.763282716947607,1.0,97.0,14,13.333333333333334,1,0,cooling_down
4461,1331,0.0,2.0,5.0,84.0,0.0631104432757325,14,4,0,3,11,17.19277108433735,16.128593057295436,1.0,70.0,14,6.666666666666667,0,0,cooling_down
3798,668,1.0,4.0,6.0,44.0,0.0658682634730539,10,4,0,5,19,17.651162790697676,17.17472957158919,1.0,70.0,10,13.333333333333334,1,0,cooling_down
798,696,0.0,2.0,5.0,52.0,0.0747126436781609,27,4,0,10,43,27.45098039215686,25.60737770948986,2.0,154.0,27,6.666666666666667,0,0,cooling_down
4516,937,2.0,4.0,4.0,50.0,0.0533617929562433,1,0,0,2,6,20.97959183673469,21.21175049393793,1.0,94.0,1,13.333333333333334,1,0,heating_up
4947,1368,1.0,2.0,3.0,74.0,0.0540935672514619,4,4,0,4,17,20.164383561643834,20.49457910192862,1.0,85.0,4,6.666666666666667,1,0,heating_up
3681,102,1.0,1.0,1.0,5.0,0.0490196078431372,6,5,1,8,33,28.75,38.356062102358734,3.0,95.0,6,3.333333333333333,0,1,heating_up
101,2,0.0,0.0,0.0,0.0,0.0,999,5,1,11,45,0.0,0.0,0.0,0.0,999,0.0,1,1,stable
2784,685,0.0,0.0,2.0,36.0,0.0525547445255474,31,3,0,10,42,18.942857142857143,19.102644330253423,1.0,79.0,31,0.0,0,1,stable
2175,76,1.0,2.0,4.0,4.0,0.0526315789473684,1,1,0,1,5,12.666666666666666,4.109609335312651,8.0,18.0,1,6.666666666666667,0,0,heating_up
5967,110,6.0,18.0,26.0,55.0,0.5,1,0,0,9,40,1.9814814814814807,1.420625067704494,1.0,7.0,1,60.0,1,0,stable
4042,912,2.0,2.0,4.0,60.0,0.0657894736842105,2,3,0,1,2,16.728813559322035,14.34304946947768,1.0,71.0,2,6.666666666666667,0,0,heating_up
4530,1400,1.0,4.0,5.0,96.0,0.0685714285714285,10,3,0,5,22,15.8,14.99445511549274,1.0,76.0,10,13.333333333333334,1,0,cooling_down
4483,1353,1.0,2.0,3.0,90.0,0.0665188470066518,1,5,1,4,14,16.191011235955056,14.78450175811917,1.0,78.0,1,6.666666666666667,0,0,heating_up
